cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,224,3584,6144,18,0,28.0881,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,351.22,890.13,0.0
304,224,4096,512,18,0,6.3117,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,148.85,641.17,0.0
304,224,4096,1024,12,0,8.8292,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,212.82,708.86,0.0
304,224,4096,2048,18,0,13.0709,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,287.52,817.26,0.0
304,224,4608,7168,18,0,35.615,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,415.49,1030.47,0.0
304,224,6144,1536,18,0,15.4088,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,274.38,813.42,0.0
304,224,6144,3072,18,0,25.5528,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,330.91,873.29,0.0
304,224,7168,256,11,0,6.2404,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,131.74,817.83,0.0
304,224,7168,2048,18,0,19.6617,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,334.49,933.29,0.0
304,224,7168,2304,18,0,20.6116,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,358.96,982.09,0.0
304,232,512,7168,8,0,21.9125,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,77.71,254.22,0.0
304,232,576,7168,8,0,22.1718,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,86.4,273.28,0.0
304,232,1280,4096,8,0,14.3186,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,169.9,474.0,0.0
304,232,1536,7168,18,0,26.2886,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,194.33,509.18,0.0
304,232,1792,6144,18,0,22.9707,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,222.4,577.56,0.0
304,232,2112,7168,18,0,26.7485,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,262.61,664.78,0.0
304,232,2304,4096,18,0,16.6859,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,262.43,686.6,0.0
304,232,3072,1536,18,0,9.8329,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,222.66,661.08,0.0
304,232,3584,6144,18,0,28.4494,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,359.14,882.57,0.0
304,232,4096,512,18,0,6.3681,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,152.81,646.42,0.0
304,232,4096,1024,18,0,9.053,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,214.97,699.48,0.0
304,232,4096,2048,18,0,13.2592,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,293.56,811.84,0.0
304,232,4608,7168,18,0,35.5592,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,431.0,1035.77,0.0
304,232,6144,1536,18,0,15.8609,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,276.08,797.2,0.0
304,232,6144,3072,18,0,25.8833,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,338.35,866.89,0.0
304,232,7168,256,11,0,6.1694,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,138.01,846.17,0.0
304,232,7168,2048,18,0,19.8921,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,342.42,929.07,0.0
304,232,7168,2304,18,0,20.7796,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,368.77,980.56,0.0
304,240,512,7168,8,0,18.0028,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,97.85,313.07,0.0
304,240,576,7168,8,0,18.1645,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,109.1,337.23,0.0
304,240,1280,4096,8,0,12.9571,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,194.22,527.92,0.0
304,240,1536,7168,8,0,25.611,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,206.35,525.85,0.0
304,240,1792,6144,18,0,23.0333,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,229.44,579.37,0.0
304,240,2112,7168,18,0,26.8654,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,270.48,665.28,0.0
304,240,2304,4096,18,0,17.2216,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,263.03,669.28,0.0
304,240,3072,1536,18,0,9.4559,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,239.52,693.94,0.0
