cu_num,M,N,K,kernelId,splitK,us,kernelName,errRatio,tflops,bw
304,512,4096,640,77,0,-1.0,a8w8_bpreshuffle_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,512,4096,1024,114,0,-1.0,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,512,4096,3072,121,0,-1.0,a8w8_bpreshuffle_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,1.0,-1.0,-1.0
304,512,5120,640,77,0,-1.0,a8w8_bpreshuffle_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,512,5120,2048,122,0,-1.0,a8w8_bpreshuffle_256x80x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v3,1.0,-1.0,-1.0
304,512,6144,768,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,512,6144,1024,93,0,-1.0,a8w8_bpreshuffle_256x64x192x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,512,6144,1536,128,0,-1.0,a8w8_bpreshuffle_256x64x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,512,6144,2048,128,0,-1.0,a8w8_bpreshuffle_256x64x192x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,512,7168,256,72,0,-1.0,a8w8_bpreshuffle_256x64x256x64_16x16_16x16_4x64x1_4x64x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,512,7168,2304,85,0,-1.0,a8w8_bpreshuffle_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,1024,192,7168,11,0,-1.0,a8w8_bpreshuffle_256x16x64x512_16x16_16x16_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1024,512,7168,12,0,-1.0,a8w8_bpreshuffle_256x32x64x512_16x16_16x16_32x8x1_32x8x1_1x32x1x8_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
304,1024,896,5120,114,0,-1.0,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,1024,1024,5632,114,0,-1.0,a8w8_bpreshuffle_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8x8x1_2x1_intrawave_v3,1.0,-1.0,-1.0
304,1024,1056,1408,9,0,-1.0,a8w8_bpreshuffle_128x16x32x128_16x16_16x16_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_intrawave_v1,1.0,-1.0,-1.0
304,1024,1280,4096,120,0,-1.0,a8w8_bpreshuffle_256x48x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8x8x1_1x2_intrawave_v1,1.0,-1.0,-1.0
