cu_num,M,N,K,kernelId,splitK,us,kernelName,errRatio,tflops,bw
304,32,2048,1536,76,0,5.4817,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2,0.0,36.73,606.74
304,32,2048,6144,34,0,10.8788,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,74.03,1186.77
304,32,3072,4096,34,0,8.7289,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,92.26,1479.06
304,32,3584,6144,34,0,11.7628,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,119.81,1908.23
304,32,4096,640,76,0,4.164,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2,0.0,40.29,697.42
304,32,4096,1024,79,0,5.2723,a8w8_rowwise_128x16x32x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,0.0,50.91,851.47
304,32,4096,3072,34,0,8.0343,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,100.23,1611.01
304,32,5120,640,79,0,4.4896,a8w8_rowwise_128x16x32x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,0.0,46.71,807.41
304,32,5120,2048,34,0,7.211,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,93.06,1508.66
304,32,6144,768,76,0,4.8033,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v2,0.0,62.87,1069.34
304,32,6144,1024,79,0,6.1898,a8w8_rowwise_128x16x32x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_4x4x1_1x1_interwave_v2,0.0,65.05,1085.24
304,32,6144,1536,34,0,6.7182,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,89.9,1470.57
304,32,6144,2048,34,0,8.1523,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,98.78,1599.75
304,32,7168,256,67,0,3.5342,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_interwave_v1,0.0,33.23,651.34
304,32,7168,2304,57,0,9.1271,a8w8_rowwise_128x32x16x128_16x16_1x1_8x16x1_8x16x1_1x16x1x8_2x2x1_1x1_intrawave_v2,0.0,115.81,1867.8
304,40,192,7168,34,0,13.0303,a8w8_rowwise_256x16x64x512_16x16_1x1_32x8x1_32x8x1_1x16x1x16_4x4x1_1x1_intrawave_v3,0.0,8.45,128.8
